0 0 ['38d2m42s', '111d3m31s'] ['38d2m42s', '111d0m0s'] ['38d0m0s', '111d3m31s'] ['38d0m0s', '111d0m0s'] 1970
55 0 ['38d2m42s', '114d16m56s'] ['38d2m42s', '114d13m25s'] ['38d0m0s', '114d16m56s'] ['38d0m0s', '114d13m25s'] 2326
56 0 ['38d2m42s', '114d20m27s'] ['38d2m42s', '114d16m56s'] ['38d0m0s', '114d20m27s'] ['38d0m0s', '114d16m56s'] 2015
57 0 ['38d2m42s', '114d23m58s'] ['38d2m42s', '114d20m27s'] ['38d0m0s', '114d23m58s'] ['38d0m0s', '114d20m27s'] 1863
58 0 ['38d2m42s', '114d27m29s'] ['38d2m42s', '114d23m58s'] ['38d0m0s', '114d27m29s'] ['38d0m0s', '114d23m58s'] 1800
59 0 ['38d2m42s', '114d31m0s'] ['38d2m42s', '114d27m29s'] ['38d0m0s', '114d31m0s'] ['38d0m0s', '114d27m29s'] 1796
60 0 ['38d2m42s', '114d34m31s'] ['38d2m42s', '114d31m0s'] ['38d0m0s', '114d34m31s'] ['38d0m0s', '114d31m0s'] 2283
61 0 ['38d2m42s', '114d38m2s'] ['38d2m42s', '114d34m31s'] ['38d0m0s', '114d38m2s'] ['38d0m0s', '114d34m31s'] 2718
62 0 ['38d2m42s', '114d41m33s'] ['38d2m42s', '114d38m2s'] ['38d0m0s', '114d41m33s'] ['38d0m0s', '114d38m2s'] 1989
63 0 ['38d2m42s', '114d45m4s'] ['38d2m42s', '114d41m33s'] ['38d0m0s', '114d45m4s'] ['38d0m0s', '114d41m33s'] 1772
64 0 ['38d2m42s', '114d48m35s'] ['38d2m42s', '114d45m4s'] ['38d0m0s', '114d48m35s'] ['38d0m0s', '114d45m4s'] 1513
65 0 ['38d2m42s', '114d52m6s'] ['38d2m42s', '114d48m35s'] ['38d0m0s', '114d52m6s'] ['38d0m0s', '114d48m35s'] 1755
66 0 ['38d2m42s', '114d55m37s'] ['38d2m42s', '114d52m6s'] ['38d0m0s', '114d55m37s'] ['38d0m0s', '114d52m6s'] 1845
67 0 ['38d2m42s', '114d59m8s'] ['38d2m42s', '114d55m37s'] ['38d0m0s', '114d59m8s'] ['38d0m0s', '114d55m37s'] 1670
68 0 ['38d2m42s', '115d2m39s'] ['38d2m42s', '114d59m8s'] ['38d0m0s', '115d2m39s'] ['38d0m0s', '114d59m8s'] 2171
69 0 ['38d2m42s', '115d6m10s'] ['38d2m42s', '115d2m39s'] ['38d0m0s', '115d6m10s'] ['38d0m0s', '115d2m39s'] 2575
70 0 ['38d2m42s', '115d9m41s'] ['38d2m42s', '115d6m10s'] ['38d0m0s', '115d9m41s'] ['38d0m0s', '115d6m10s'] 2254
71 0 ['38d2m42s', '115d13m12s'] ['38d2m42s', '115d9m41s'] ['38d0m0s', '115d13m12s'] ['38d0m0s', '115d9m41s'] 1840
72 0 ['38d2m42s', '115d16m43s'] ['38d2m42s', '115d13m12s'] ['38d0m0s', '115d16m43s'] ['38d0m0s', '115d13m12s'] 1588
73 0 ['38d2m42s', '115d20m14s'] ['38d2m42s', '115d16m43s'] ['38d0m0s', '115d20m14s'] ['38d0m0s', '115d16m43s'] 1543
74 0 ['38d2m42s', '115d23m45s'] ['38d2m42s', '115d20m14s'] ['38d0m0s', '115d23m45s'] ['38d0m0s', '115d20m14s'] 1921
75 0 ['38d2m42s', '115d27m16s'] ['38d2m42s', '115d23m45s'] ['38d0m0s', '115d27m16s'] ['38d0m0s', '115d23m45s'] 1687
76 0 ['38d2m42s', '115d30m47s'] ['38d2m42s', '115d27m16s'] ['38d0m0s', '115d30m47s'] ['38d0m0s', '115d27m16s'] 1641
77 0 ['38d2m42s', '115d34m18s'] ['38d2m42s', '115d30m47s'] ['38d0m0s', '115d34m18s'] ['38d0m0s', '115d30m47s'] 1729
78 0 ['38d2m42s', '115d37m49s'] ['38d2m42s', '115d34m18s'] ['38d0m0s', '115d37m49s'] ['38d0m0s', '115d34m18s'] 1885
79 0 ['38d2m42s', '115d41m20s'] ['38d2m42s', '115d37m49s'] ['38d0m0s', '115d41m20s'] ['38d0m0s', '115d37m49s'] 2177
80 0 ['38d2m42s', '115d44m51s'] ['38d2m42s', '115d41m20s'] ['38d0m0s', '115d44m51s'] ['38d0m0s', '115d41m20s'] 2499
81 0 ['38d2m42s', '115d48m22s'] ['38d2m42s', '115d44m51s'] ['38d0m0s', '115d48m22s'] ['38d0m0s', '115d44m51s'] 2791
