0 0 ['38d2m42s', '111d3m31s'] ['38d2m42s', '111d0m0s'] ['38d0m0s', '111d3m31s'] ['38d0m0s', '111d0m0s'] 1970
231 20 ['38d56m42s', '124d35m52s'] ['38d56m42s', '124d32m21s'] ['38d54m0s', '124d35m52s'] ['38d54m0s', '124d32m21s'] 0
232 20 ['38d56m42s', '124d39m23s'] ['38d56m42s', '124d35m52s'] ['38d54m0s', '124d39m23s'] ['38d54m0s', '124d35m52s'] 0
233 20 ['38d56m42s', '124d42m54s'] ['38d56m42s', '124d39m23s'] ['38d54m0s', '124d42m54s'] ['38d54m0s', '124d39m23s'] 0
234 20 ['38d56m42s', '124d46m25s'] ['38d56m42s', '124d42m54s'] ['38d54m0s', '124d46m25s'] ['38d54m0s', '124d42m54s'] 0
235 20 ['38d56m42s', '124d49m56s'] ['38d56m42s', '124d46m25s'] ['38d54m0s', '124d49m56s'] ['38d54m0s', '124d46m25s'] 0
236 20 ['38d56m42s', '124d53m27s'] ['38d56m42s', '124d49m56s'] ['38d54m0s', '124d53m27s'] ['38d54m0s', '124d49m56s'] 0
237 20 ['38d56m42s', '124d56m58s'] ['38d56m42s', '124d53m27s'] ['38d54m0s', '124d56m58s'] ['38d54m0s', '124d53m27s'] 0
238 20 ['38d56m42s', '125d0m29s'] ['38d56m42s', '124d56m58s'] ['38d54m0s', '125d0m29s'] ['38d54m0s', '124d56m58s'] 0
239 20 ['38d56m42s', '125d4m0s'] ['38d56m42s', '125d0m29s'] ['38d54m0s', '125d4m0s'] ['38d54m0s', '125d0m29s'] 0
0 21 ['38d59m24s', '111d3m31s'] ['38d59m24s', '111d0m0s'] ['38d56m42s', '111d3m31s'] ['38d56m42s', '111d0m0s'] 1934
1 21 ['38d59m24s', '111d7m2s'] ['38d59m24s', '111d3m31s'] ['38d56m42s', '111d7m2s'] ['38d56m42s', '111d3m31s'] 2041
2 21 ['38d59m24s', '111d10m33s'] ['38d59m24s', '111d7m2s'] ['38d56m42s', '111d10m33s'] ['38d56m42s', '111d7m2s'] 1965
3 21 ['38d59m24s', '111d14m4s'] ['38d59m24s', '111d10m33s'] ['38d56m42s', '111d14m4s'] ['38d56m42s', '111d10m33s'] 2061
4 21 ['38d59m24s', '111d17m35s'] ['38d59m24s', '111d14m4s'] ['38d56m42s', '111d17m35s'] ['38d56m42s', '111d14m4s'] 2711
5 21 ['38d59m24s', '111d21m6s'] ['38d59m24s', '111d17m35s'] ['38d56m42s', '111d21m6s'] ['38d56m42s', '111d17m35s'] 2754
6 21 ['38d59m24s', '111d24m37s'] ['38d59m24s', '111d21m6s'] ['38d56m42s', '111d24m37s'] ['38d56m42s', '111d21m6s'] 2722
7 21 ['38d59m24s', '111d28m8s'] ['38d59m24s', '111d24m37s'] ['38d56m42s', '111d28m8s'] ['38d56m42s', '111d24m37s'] 2940
8 21 ['38d59m24s', '111d31m39s'] ['38d59m24s', '111d28m8s'] ['38d56m42s', '111d31m39s'] ['38d56m42s', '111d28m8s'] 3048
9 21 ['38d59m24s', '111d35m10s'] ['38d59m24s', '111d31m39s'] ['38d56m42s', '111d35m10s'] ['38d56m42s', '111d31m39s'] 2773
10 21 ['38d59m24s', '111d38m41s'] ['38d59m24s', '111d35m10s'] ['38d56m42s', '111d38m41s'] ['38d56m42s', '111d35m10s'] 2845
11 21 ['38d59m24s', '111d42m12s'] ['38d59m24s', '111d38m41s'] ['38d56m42s', '111d42m12s'] ['38d56m42s', '111d38m41s'] 2669
12 21 ['38d59m24s', '111d45m43s'] ['38d59m24s', '111d42m12s'] ['38d56m42s', '111d45m43s'] ['38d56m42s', '111d42m12s'] 2368
13 21 ['38d59m24s', '111d49m14s'] ['38d59m24s', '111d45m43s'] ['38d56m42s', '111d49m14s'] ['38d56m42s', '111d45m43s'] 2189
14 21 ['38d59m24s', '111d52m45s'] ['38d59m24s', '111d49m14s'] ['38d56m42s', '111d52m45s'] ['38d56m42s', '111d49m14s'] 1997
15 21 ['38d59m24s', '111d56m16s'] ['38d59m24s', '111d52m45s'] ['38d56m42s', '111d56m16s'] ['38d56m42s', '111d52m45s'] 1740
16 21 ['38d59m24s', '111d59m47s'] ['38d59m24s', '111d56m16s'] ['38d56m42s', '111d59m47s'] ['38d56m42s', '111d56m16s'] 1980
17 21 ['38d59m24s', '112d3m18s'] ['38d59m24s', '111d59m47s'] ['38d56m42s', '112d3m18s'] ['38d56m42s', '111d59m47s'] 2369
18 21 ['38d59m24s', '112d6m49s'] ['38d59m24s', '112d3m18s'] ['38d56m42s', '112d6m49s'] ['38d56m42s', '112d3m18s'] 2888
19 21 ['38d59m24s', '112d10m20s'] ['38d59m24s', '112d6m49s'] ['38d56m42s', '112d10m20s'] ['38d56m42s', '112d6m49s'] 3023
20 21 ['38d59m24s', '112d13m51s'] ['38d59m24s', '112d10m20s'] ['38d56m42s', '112d13m51s'] ['38d56m42s', '112d10m20s'] 2998
21 21 ['38d59m24s', '112d17m22s'] ['38d59m24s', '112d13m51s'] ['38d56m42s', '112d17m22s'] ['38d56m42s', '112d13m51s'] 2268
22 21 ['38d59m24s', '112d20m53s'] ['38d59m24s', '112d17m22s'] ['38d56m42s', '112d20m53s'] ['38d56m42s', '112d17m22s'] 1738
23 21 ['38d59m24s', '112d24m24s'] ['38d59m24s', '112d20m53s'] ['38d56m42s', '112d24m24s'] ['38d56m42s', '112d20m53s'] 1534
24 21 ['38d59m24s', '112d27m55s'] ['38d59m24s', '112d24m24s'] ['38d56m42s', '112d27m55s'] ['38d56m42s', '112d24m24s'] 1459
25 21 ['38d59m24s', '112d31m26s'] ['38d59m24s', '112d27m55s'] ['38d56m42s', '112d31m26s'] ['38d56m42s', '112d27m55s'] 1508
26 21 ['38d59m24s', '112d34m57s'] ['38d59m24s', '112d31m26s'] ['38d56m42s', '112d34m57s'] ['38d56m42s', '112d31m26s'] 1456
27 21 ['38d59m24s', '112d38m28s'] ['38d59m24s', '112d34m57s'] ['38d56m42s', '112d38m28s'] ['38d56m42s', '112d34m57s'] 1449
28 21 ['38d59m24s', '112d41m59s'] ['38d59m24s', '112d38m28s'] ['38d56m42s', '112d41m59s'] ['38d56m42s', '112d38m28s'] 1437
29 21 ['38d59m24s', '112d45m30s'] ['38d59m24s', '112d41m59s'] ['38d56m42s', '112d45m30s'] ['38d56m42s', '112d41m59s'] 1459
30 21 ['38d59m24s', '112d49m1s'] ['38d59m24s', '112d45m30s'] ['38d56m42s', '112d49m1s'] ['38d56m42s', '112d45m30s'] 1469
31 21 ['38d59m24s', '112d52m32s'] ['38d59m24s', '112d49m1s'] ['38d56m42s', '112d52m32s'] ['38d56m42s', '112d49m1s'] 1566
32 21 ['38d59m24s', '112d56m3s'] ['38d59m24s', '112d52m32s'] ['38d56m42s', '112d56m3s'] ['38d56m42s', '112d52m32s'] 1866
33 21 ['38d59m24s', '112d59m34s'] ['38d59m24s', '112d56m3s'] ['38d56m42s', '112d59m34s'] ['38d56m42s', '112d56m3s'] 2186
34 21 ['38d59m24s', '113d3m5s'] ['38d59m24s', '112d59m34s'] ['38d56m42s', '113d3m5s'] ['38d56m42s', '112d59m34s'] 1924
35 21 ['38d59m24s', '113d6m36s'] ['38d59m24s', '113d3m5s'] ['38d56m42s', '113d6m36s'] ['38d56m42s', '113d3m5s'] 1428
36 21 ['38d59m24s', '113d10m7s'] ['38d59m24s', '113d6m36s'] ['38d56m42s', '113d10m7s'] ['38d56m42s', '113d6m36s'] 0
37 21 ['38d59m24s', '113d13m38s'] ['38d59m24s', '113d10m7s'] ['38d56m42s', '113d13m38s'] ['38d56m42s', '113d10m7s'] 1400
38 21 ['38d59m24s', '113d17m9s'] ['38d59m24s', '113d13m38s'] ['38d56m42s', '113d17m9s'] ['38d56m42s', '113d13m38s'] 1516
39 21 ['38d59m24s', '113d20m40s'] ['38d59m24s', '113d17m9s'] ['38d56m42s', '113d20m40s'] ['38d56m42s', '113d17m9s'] 1685
40 21 ['38d59m24s', '113d24m11s'] ['38d59m24s', '113d20m40s'] ['38d56m42s', '113d24m11s'] ['38d56m42s', '113d20m40s'] 1886
41 21 ['38d59m24s', '113d27m42s'] ['38d59m24s', '113d24m11s'] ['38d56m42s', '113d27m42s'] ['38d56m42s', '113d24m11s'] 2081
42 21 ['38d59m24s', '113d31m13s'] ['38d59m24s', '113d27m42s'] ['38d56m42s', '113d31m13s'] ['38d56m42s', '113d27m42s'] 2527
43 21 ['38d59m24s', '113d34m44s'] ['38d59m24s', '113d31m13s'] ['38d56m42s', '113d34m44s'] ['38d56m42s', '113d31m13s'] 2539
44 21 ['38d59m24s', '113d38m15s'] ['38d59m24s', '113d34m44s'] ['38d56m42s', '113d38m15s'] ['38d56m42s', '113d34m44s'] 2259
45 21 ['38d59m24s', '113d41m46s'] ['38d59m24s', '113d38m15s'] ['38d56m42s', '113d41m46s'] ['38d56m42s', '113d38m15s'] 1943
46 21 ['38d59m24s', '113d45m17s'] ['38d59m24s', '113d41m46s'] ['38d56m42s', '113d45m17s'] ['38d56m42s', '113d41m46s'] 1652
47 21 ['38d59m24s', '113d48m48s'] ['38d59m24s', '113d45m17s'] ['38d56m42s', '113d48m48s'] ['38d56m42s', '113d45m17s'] 1665
48 21 ['38d59m24s', '113d52m19s'] ['38d59m24s', '113d48m48s'] ['38d56m42s', '113d52m19s'] ['38d56m42s', '113d48m48s'] 1797
49 21 ['38d59m24s', '113d55m50s'] ['38d59m24s', '113d52m19s'] ['38d56m42s', '113d55m50s'] ['38d56m42s', '113d52m19s'] 2128
50 21 ['38d59m24s', '113d59m21s'] ['38d59m24s', '113d55m50s'] ['38d56m42s', '113d59m21s'] ['38d56m42s', '113d55m50s'] 1852
51 21 ['38d59m24s', '114d2m52s'] ['38d59m24s', '113d59m21s'] ['38d56m42s', '114d2m52s'] ['38d56m42s', '113d59m21s'] 1664
52 21 ['38d59m24s', '114d6m23s'] ['38d59m24s', '114d2m52s'] ['38d56m42s', '114d6m23s'] ['38d56m42s', '114d2m52s'] 1798
53 21 ['38d59m24s', '114d9m54s'] ['38d59m24s', '114d6m23s'] ['38d56m42s', '114d9m54s'] ['38d56m42s', '114d6m23s'] 2631
54 21 ['38d59m24s', '114d13m25s'] ['38d59m24s', '114d9m54s'] ['38d56m42s', '114d13m25s'] ['38d56m42s', '114d9m54s'] 3296
55 21 ['38d59m24s', '114d16m56s'] ['38d59m24s', '114d13m25s'] ['38d56m42s', '114d16m56s'] ['38d56m42s', '114d13m25s'] 3465
56 21 ['38d59m24s', '114d20m27s'] ['38d59m24s', '114d16m56s'] ['38d56m42s', '114d20m27s'] ['38d56m42s', '114d16m56s'] 3976
57 21 ['38d59m24s', '114d23m58s'] ['38d59m24s', '114d20m27s'] ['38d56m42s', '114d23m58s'] ['38d56m42s', '114d20m27s'] 3014
58 21 ['38d59m24s', '114d27m29s'] ['38d59m24s', '114d23m58s'] ['38d56m42s', '114d27m29s'] ['38d56m42s', '114d23m58s'] 1977
59 21 ['38d59m24s', '114d31m0s'] ['38d59m24s', '114d27m29s'] ['38d56m42s', '114d31m0s'] ['38d56m42s', '114d27m29s'] 1832
60 21 ['38d59m24s', '114d34m31s'] ['38d59m24s', '114d31m0s'] ['38d56m42s', '114d34m31s'] ['38d56m42s', '114d31m0s'] 2061
61 21 ['38d59m24s', '114d38m2s'] ['38d59m24s', '114d34m31s'] ['38d56m42s', '114d38m2s'] ['38d56m42s', '114d34m31s'] 2429
62 21 ['38d59m24s', '114d41m33s'] ['38d59m24s', '114d38m2s'] ['38d56m42s', '114d41m33s'] ['38d56m42s', '114d38m2s'] 2744
63 21 ['38d59m24s', '114d45m4s'] ['38d59m24s', '114d41m33s'] ['38d56m42s', '114d45m4s'] ['38d56m42s', '114d41m33s'] 2421
64 21 ['38d59m24s', '114d48m35s'] ['38d59m24s', '114d45m4s'] ['38d56m42s', '114d48m35s'] ['38d56m42s', '114d45m4s'] 2231
65 21 ['38d59m24s', '114d52m6s'] ['38d59m24s', '114d48m35s'] ['38d56m42s', '114d52m6s'] ['38d56m42s', '114d48m35s'] 2815
66 21 ['38d59m24s', '114d55m37s'] ['38d59m24s', '114d52m6s'] ['38d56m42s', '114d55m37s'] ['38d56m42s', '114d52m6s'] 3047
67 21 ['38d59m24s', '114d59m8s'] ['38d59m24s', '114d55m37s'] ['38d56m42s', '114d59m8s'] ['38d56m42s', '114d55m37s'] 2621
68 21 ['38d59m24s', '115d2m39s'] ['38d59m24s', '114d59m8s'] ['38d56m42s', '115d2m39s'] ['38d56m42s', '114d59m8s'] 1850
69 21 ['38d59m24s', '115d6m10s'] ['38d59m24s', '115d2m39s'] ['38d56m42s', '115d6m10s'] ['38d56m42s', '115d2m39s'] 1874
70 21 ['38d59m24s', '115d9m41s'] ['38d59m24s', '115d6m10s'] ['38d56m42s', '115d9m41s'] ['38d56m42s', '115d6m10s'] 2016
71 21 ['38d59m24s', '115d13m12s'] ['38d59m24s', '115d9m41s'] ['38d56m42s', '115d13m12s'] ['38d56m42s', '115d9m41s'] 2029
72 21 ['38d59m24s', '115d16m43s'] ['38d59m24s', '115d13m12s'] ['38d56m42s', '115d16m43s'] ['38d56m42s', '115d13m12s'] 2102
73 21 ['38d59m24s', '115d20m14s'] ['38d59m24s', '115d16m43s'] ['38d56m42s', '115d20m14s'] ['38d56m42s', '115d16m43s'] 2447
74 21 ['38d59m24s', '115d23m45s'] ['38d59m24s', '115d20m14s'] ['38d56m42s', '115d23m45s'] ['38d56m42s', '115d20m14s'] 2701
75 21 ['38d59m24s', '115d27m16s'] ['38d59m24s', '115d23m45s'] ['38d56m42s', '115d27m16s'] ['38d56m42s', '115d23m45s'] 3125
76 21 ['38d59m24s', '115d30m47s'] ['38d59m24s', '115d27m16s'] ['38d56m42s', '115d30m47s'] ['38d56m42s', '115d27m16s'] 2693
77 21 ['38d59m24s', '115d34m18s'] ['38d59m24s', '115d30m47s'] ['38d56m42s', '115d34m18s'] ['38d56m42s', '115d30m47s'] 2123
78 21 ['38d59m24s', '115d37m49s'] ['38d59m24s', '115d34m18s'] ['38d56m42s', '115d37m49s'] ['38d56m42s', '115d34m18s'] 1770
79 21 ['38d59m24s', '115d41m20s'] ['38d59m24s', '115d37m49s'] ['38d56m42s', '115d41m20s'] ['38d56m42s', '115d37m49s'] 1994
80 21 ['38d59m24s', '115d44m51s'] ['38d59m24s', '115d41m20s'] ['38d56m42s', '115d44m51s'] ['38d56m42s', '115d41m20s'] 1844
81 21 ['38d59m24s', '115d48m22s'] ['38d59m24s', '115d44m51s'] ['38d56m42s', '115d48m22s'] ['38d56m42s', '115d44m51s'] 2116
82 21 ['38d59m24s', '115d51m53s'] ['38d59m24s', '115d48m22s'] ['38d56m42s', '115d51m53s'] ['38d56m42s', '115d48m22s'] 2370
83 21 ['38d59m24s', '115d55m24s'] ['38d59m24s', '115d51m53s'] ['38d56m42s', '115d55m24s'] ['38d56m42s', '115d51m53s'] 2555
84 21 ['38d59m24s', '115d58m55s'] ['38d59m24s', '115d55m24s'] ['38d56m42s', '115d58m55s'] ['38d56m42s', '115d55m24s'] 2256
85 21 ['38d59m24s', '116d2m26s'] ['38d59m24s', '115d58m55s'] ['38d56m42s', '116d2m26s'] ['38d56m42s', '115d58m55s'] 2132
86 21 ['38d59m24s', '116d5m57s'] ['38d59m24s', '116d2m26s'] ['38d56m42s', '116d5m57s'] ['38d56m42s', '116d2m26s'] 2066
87 21 ['38d59m24s', '116d9m28s'] ['38d59m24s', '116d5m57s'] ['38d56m42s', '116d9m28s'] ['38d56m42s', '116d5m57s'] 2344
88 21 ['38d59m24s', '116d12m59s'] ['38d59m24s', '116d9m28s'] ['38d56m42s', '116d12m59s'] ['38d56m42s', '116d9m28s'] 2350
89 21 ['38d59m24s', '116d16m30s'] ['38d59m24s', '116d12m59s'] ['38d56m42s', '116d16m30s'] ['38d56m42s', '116d12m59s'] 2873
90 21 ['38d59m24s', '116d20m1s'] ['38d59m24s', '116d16m30s'] ['38d56m42s', '116d20m1s'] ['38d56m42s', '116d16m30s'] 2672
91 21 ['38d59m24s', '116d23m32s'] ['38d59m24s', '116d20m1s'] ['38d56m42s', '116d23m32s'] ['38d56m42s', '116d20m1s'] 2454
92 21 ['38d59m24s', '116d27m3s'] ['38d59m24s', '116d23m32s'] ['38d56m42s', '116d27m3s'] ['38d56m42s', '116d23m32s'] 2648
93 21 ['38d59m24s', '116d30m34s'] ['38d59m24s', '116d27m3s'] ['38d56m42s', '116d30m34s'] ['38d56m42s', '116d27m3s'] 2966
94 21 ['38d59m24s', '116d34m5s'] ['38d59m24s', '116d30m34s'] ['38d56m42s', '116d34m5s'] ['38d56m42s', '116d30m34s'] 2666
95 21 ['38d59m24s', '116d37m36s'] ['38d59m24s', '116d34m5s'] ['38d56m42s', '116d37m36s'] ['38d56m42s', '116d34m5s'] 2345
96 21 ['38d59m24s', '116d41m7s'] ['38d59m24s', '116d37m36s'] ['38d56m42s', '116d41m7s'] ['38d56m42s', '116d37m36s'] 2274
97 21 ['38d59m24s', '116d44m38s'] ['38d59m24s', '116d41m7s'] ['38d56m42s', '116d44m38s'] ['38d56m42s', '116d41m7s'] 2205
98 21 ['38d59m24s', '116d48m9s'] ['38d59m24s', '116d44m38s'] ['38d56m42s', '116d48m9s'] ['38d56m42s', '116d44m38s'] 2769
99 21 ['38d59m24s', '116d51m40s'] ['38d59m24s', '116d48m9s'] ['38d56m42s', '116d51m40s'] ['38d56m42s', '116d48m9s'] 2981
100 21 ['38d59m24s', '116d55m11s'] ['38d59m24s', '116d51m40s'] ['38d56m42s', '116d55m11s'] ['38d56m42s', '116d51m40s'] 2818
101 21 ['38d59m24s', '116d58m42s'] ['38d59m24s', '116d55m11s'] ['38d56m42s', '116d58m42s'] ['38d56m42s', '116d55m11s'] 2530
102 21 ['38d59m24s', '117d2m13s'] ['38d59m24s', '116d58m42s'] ['38d56m42s', '117d2m13s'] ['38d56m42s', '116d58m42s'] 2047
103 21 ['38d59m24s', '117d5m44s'] ['38d59m24s', '117d2m13s'] ['38d56m42s', '117d5m44s'] ['38d56m42s', '117d2m13s'] 1737
104 21 ['38d59m24s', '117d9m15s'] ['38d59m24s', '117d5m44s'] ['38d56m42s', '117d9m15s'] ['38d56m42s', '117d5m44s'] 1681
105 21 ['38d59m24s', '117d12m46s'] ['38d59m24s', '117d9m15s'] ['38d56m42s', '117d12m46s'] ['38d56m42s', '117d9m15s'] 1823
106 21 ['38d59m24s', '117d16m17s'] ['38d59m24s', '117d12m46s'] ['38d56m42s', '117d16m17s'] ['38d56m42s', '117d12m46s'] 3138
107 21 ['38d59m24s', '117d19m48s'] ['38d59m24s', '117d16m17s'] ['38d56m42s', '117d19m48s'] ['38d56m42s', '117d16m17s'] 3256
108 21 ['38d59m24s', '117d23m19s'] ['38d59m24s', '117d19m48s'] ['38d56m42s', '117d23m19s'] ['38d56m42s', '117d19m48s'] 2996
109 21 ['38d59m24s', '117d26m50s'] ['38d59m24s', '117d23m19s'] ['38d56m42s', '117d26m50s'] ['38d56m42s', '117d23m19s'] 2360
110 21 ['38d59m24s', '117d30m21s'] ['38d59m24s', '117d26m50s'] ['38d56m42s', '117d30m21s'] ['38d56m42s', '117d26m50s'] 2146
111 21 ['38d59m24s', '117d33m52s'] ['38d59m24s', '117d30m21s'] ['38d56m42s', '117d33m52s'] ['38d56m42s', '117d30m21s'] 2489
112 21 ['38d59m24s', '117d37m23s'] ['38d59m24s', '117d33m52s'] ['38d56m42s', '117d37m23s'] ['38d56m42s', '117d33m52s'] 2394
113 21 ['38d59m24s', '117d40m54s'] ['38d59m24s', '117d37m23s'] ['38d56m42s', '117d40m54s'] ['38d56m42s', '117d37m23s'] 2068
114 21 ['38d59m24s', '117d44m25s'] ['38d59m24s', '117d40m54s'] ['38d56m42s', '117d44m25s'] ['38d56m42s', '117d40m54s'] 2210
115 21 ['38d59m24s', '117d47m56s'] ['38d59m24s', '117d44m25s'] ['38d56m42s', '117d47m56s'] ['38d56m42s', '117d44m25s'] 2486
116 21 ['38d59m24s', '117d51m27s'] ['38d59m24s', '117d47m56s'] ['38d56m42s', '117d51m27s'] ['38d56m42s', '117d47m56s'] 2382
117 21 ['38d59m24s', '117d54m58s'] ['38d59m24s', '117d51m27s'] ['38d56m42s', '117d54m58s'] ['38d56m42s', '117d51m27s'] 1887
118 21 ['38d59m24s', '117d58m29s'] ['38d59m24s', '117d54m58s'] ['38d56m42s', '117d58m29s'] ['38d56m42s', '117d54m58s'] 1756
119 21 ['38d59m24s', '118d2m0s'] ['38d59m24s', '117d58m29s'] ['38d56m42s', '118d2m0s'] ['38d56m42s', '117d58m29s'] 1607
120 21 ['38d59m24s', '118d5m31s'] ['38d59m24s', '118d2m0s'] ['38d56m42s', '118d5m31s'] ['38d56m42s', '118d2m0s'] 1623
121 21 ['38d59m24s', '118d9m2s'] ['38d59m24s', '118d5m31s'] ['38d56m42s', '118d9m2s'] ['38d56m42s', '118d5m31s'] 2010
122 21 ['38d59m24s', '118d12m33s'] ['38d59m24s', '118d9m2s'] ['38d56m42s', '118d12m33s'] ['38d56m42s', '118d9m2s'] 1814
123 21 ['38d59m24s', '118d16m4s'] ['38d59m24s', '118d12m33s'] ['38d56m42s', '118d16m4s'] ['38d56m42s', '118d12m33s'] 1451
124 21 ['38d59m24s', '118d19m35s'] ['38d59m24s', '118d16m4s'] ['38d56m42s', '118d19m35s'] ['38d56m42s', '118d16m4s'] 1516
125 21 ['38d59m24s', '118d23m6s'] ['38d59m24s', '118d19m35s'] ['38d56m42s', '118d23m6s'] ['38d56m42s', '118d19m35s'] 1591
126 21 ['38d59m24s', '118d26m37s'] ['38d59m24s', '118d23m6s'] ['38d56m42s', '118d26m37s'] ['38d56m42s', '118d23m6s'] 1990
127 21 ['38d59m24s', '118d30m8s'] ['38d59m24s', '118d26m37s'] ['38d56m42s', '118d30m8s'] ['38d56m42s', '118d26m37s'] 1828
128 21 ['38d59m24s', '118d33m39s'] ['38d59m24s', '118d30m8s'] ['38d56m42s', '118d33m39s'] ['38d56m42s', '118d30m8s'] 1412
129 21 ['38d59m24s', '118d37m10s'] ['38d59m24s', '118d33m39s'] ['38d56m42s', '118d37m10s'] ['38d56m42s', '118d33m39s'] 1421
130 21 ['38d59m24s', '118d40m41s'] ['38d59m24s', '118d37m10s'] ['38d56m42s', '118d40m41s'] ['38d56m42s', '118d37m10s'] 1371
131 21 ['38d59m24s', '118d44m12s'] ['38d59m24s', '118d40m41s'] ['38d56m42s', '118d44m12s'] ['38d56m42s', '118d40m41s'] 1286
132 21 ['38d59m24s', '118d47m43s'] ['38d59m24s', '118d44m12s'] ['38d56m42s', '118d47m43s'] ['38d56m42s', '118d44m12s'] 1284
133 21 ['38d59m24s', '118d51m14s'] ['38d59m24s', '118d47m43s'] ['38d56m42s', '118d51m14s'] ['38d56m42s', '118d47m43s'] 1552
134 21 ['38d59m24s', '118d54m45s'] ['38d59m24s', '118d51m14s'] ['38d56m42s', '118d54m45s'] ['38d56m42s', '118d51m14s'] 2453
135 21 ['38d59m24s', '118d58m16s'] ['38d59m24s', '118d54m45s'] ['38d56m42s', '118d58m16s'] ['38d56m42s', '118d54m45s'] 2462
136 21 ['38d59m24s', '119d1m47s'] ['38d59m24s', '118d58m16s'] ['38d56m42s', '119d1m47s'] ['38d56m42s', '118d58m16s'] 1744
137 21 ['38d59m24s', '119d5m18s'] ['38d59m24s', '119d1m47s'] ['38d56m42s', '119d5m18s'] ['38d56m42s', '119d1m47s'] 1630
138 21 ['38d59m24s', '119d8m49s'] ['38d59m24s', '119d5m18s'] ['38d56m42s', '119d8m49s'] ['38d56m42s', '119d5m18s'] 1583
139 21 ['38d59m24s', '119d12m20s'] ['38d59m24s', '119d8m49s'] ['38d56m42s', '119d12m20s'] ['38d56m42s', '119d8m49s'] 1519
140 21 ['38d59m24s', '119d15m51s'] ['38d59m24s', '119d12m20s'] ['38d56m42s', '119d15m51s'] ['38d56m42s', '119d12m20s'] 1936
141 21 ['38d59m24s', '119d19m22s'] ['38d59m24s', '119d15m51s'] ['38d56m42s', '119d19m22s'] ['38d56m42s', '119d15m51s'] 1794
142 21 ['38d59m24s', '119d22m53s'] ['38d59m24s', '119d19m22s'] ['38d56m42s', '119d22m53s'] ['38d56m42s', '119d19m22s'] 1669
143 21 ['38d59m24s', '119d26m24s'] ['38d59m24s', '119d22m53s'] ['38d56m42s', '119d26m24s'] ['38d56m42s', '119d22m53s'] 2258
144 21 ['38d59m24s', '119d29m55s'] ['38d59m24s', '119d26m24s'] ['38d56m42s', '119d29m55s'] ['38d56m42s', '119d26m24s'] 2703
145 21 ['38d59m24s', '119d33m26s'] ['38d59m24s', '119d29m55s'] ['38d56m42s', '119d33m26s'] ['38d56m42s', '119d29m55s'] 2254
146 21 ['38d59m24s', '119d36m57s'] ['38d59m24s', '119d33m26s'] ['38d56m42s', '119d36m57s'] ['38d56m42s', '119d33m26s'] 1944
147 21 ['38d59m24s', '119d40m28s'] ['38d59m24s', '119d36m57s'] ['38d56m42s', '119d40m28s'] ['38d56m42s', '119d36m57s'] 1690
148 21 ['38d59m24s', '119d43m59s'] ['38d59m24s', '119d40m28s'] ['38d56m42s', '119d43m59s'] ['38d56m42s', '119d40m28s'] 1578
149 21 ['38d59m24s', '119d47m30s'] ['38d59m24s', '119d43m59s'] ['38d56m42s', '119d47m30s'] ['38d56m42s', '119d43m59s'] 1470
150 21 ['38d59m24s', '119d51m1s'] ['38d59m24s', '119d47m30s'] ['38d56m42s', '119d51m1s'] ['38d56m42s', '119d47m30s'] 2007
151 21 ['38d59m24s', '119d54m32s'] ['38d59m24s', '119d51m1s'] ['38d56m42s', '119d54m32s'] ['38d56m42s', '119d51m1s'] 2828
152 21 ['38d59m24s', '119d58m3s'] ['38d59m24s', '119d54m32s'] ['38d56m42s', '119d58m3s'] ['38d56m42s', '119d54m32s'] 2789
153 21 ['38d59m24s', '120d1m34s'] ['38d59m24s', '119d58m3s'] ['38d56m42s', '120d1m34s'] ['38d56m42s', '119d58m3s'] 1923
154 21 ['38d59m24s', '120d5m5s'] ['38d59m24s', '120d1m34s'] ['38d56m42s', '120d5m5s'] ['38d56m42s', '120d1m34s'] 2036
155 21 ['38d59m24s', '120d8m36s'] ['38d59m24s', '120d5m5s'] ['38d56m42s', '120d8m36s'] ['38d56m42s', '120d5m5s'] 2802
156 21 ['38d59m24s', '120d12m7s'] ['38d59m24s', '120d8m36s'] ['38d56m42s', '120d12m7s'] ['38d56m42s', '120d8m36s'] 2825
157 21 ['38d59m24s', '120d15m38s'] ['38d59m24s', '120d12m7s'] ['38d56m42s', '120d15m38s'] ['38d56m42s', '120d12m7s'] 2770
158 21 ['38d59m24s', '120d19m9s'] ['38d59m24s', '120d15m38s'] ['38d56m42s', '120d19m9s'] ['38d56m42s', '120d15m38s'] 2577
159 21 ['38d59m24s', '120d22m40s'] ['38d59m24s', '120d19m9s'] ['38d56m42s', '120d22m40s'] ['38d56m42s', '120d19m9s'] 2135
160 21 ['38d59m24s', '120d26m11s'] ['38d59m24s', '120d22m40s'] ['38d56m42s', '120d26m11s'] ['38d56m42s', '120d22m40s'] 1823
161 21 ['38d59m24s', '120d29m42s'] ['38d59m24s', '120d26m11s'] ['38d56m42s', '120d29m42s'] ['38d56m42s', '120d26m11s'] 1855
162 21 ['38d59m24s', '120d33m13s'] ['38d59m24s', '120d29m42s'] ['38d56m42s', '120d33m13s'] ['38d56m42s', '120d29m42s'] 1655
163 21 ['38d59m24s', '120d36m44s'] ['38d59m24s', '120d33m13s'] ['38d56m42s', '120d36m44s'] ['38d56m42s', '120d33m13s'] 1556
164 21 ['38d59m24s', '120d40m15s'] ['38d59m24s', '120d36m44s'] ['38d56m42s', '120d40m15s'] ['38d56m42s', '120d36m44s'] 1368
