X	Y	NorthWest		NorthEast		SouthWest		SouthEast		Elevation
68 0 ['38d5m24s', '119d5m18s'] ['38d5m24s', '118d58m16s'] ['38d0m0s', '119d5m18s'] ['38d0m0s', '118d58m16s'] 2175
69 0 ['38d5m24s', '119d12m20s'] ['38d5m24s', '119d5m18s'] ['38d0m0s', '119d12m20s'] ['38d0m0s', '119d5m18s'] 3270
70 0 ['38d5m24s', '119d19m22s'] ['38d5m24s', '119d12m20s'] ['38d0m0s', '119d19m22s'] ['38d0m0s', '119d12m20s'] 3783
71 0 ['38d5m24s', '119d26m24s'] ['38d5m24s', '119d19m22s'] ['38d0m0s', '119d26m24s'] ['38d0m0s', '119d19m22s'] 3746
72 0 ['38d5m24s', '119d33m26s'] ['38d5m24s', '119d26m24s'] ['38d0m0s', '119d33m26s'] ['38d0m0s', '119d26m24s'] 3360
73 0 ['38d5m24s', '119d40m28s'] ['38d5m24s', '119d33m26s'] ['38d0m0s', '119d40m28s'] ['38d0m0s', '119d33m26s'] 3139
74 0 ['38d5m24s', '119d47m30s'] ['38d5m24s', '119d40m28s'] ['38d0m0s', '119d47m30s'] ['38d0m0s', '119d40m28s'] 2990
75 0 ['38d5m24s', '119d54m32s'] ['38d5m24s', '119d47m30s'] ['38d0m0s', '119d54m32s'] ['38d0m0s', '119d47m30s'] 2483
76 0 ['38d5m24s', '120d1m34s'] ['38d5m24s', '119d54m32s'] ['38d0m0s', '120d1m34s'] ['38d0m0s', '119d54m32s'] 2235
77 0 ['38d5m24s', '120d8m36s'] ['38d5m24s', '120d1m34s'] ['38d0m0s', '120d8m36s'] ['38d0m0s', '120d1m34s'] 1891
78 0 ['38d5m24s', '120d15m38s'] ['38d5m24s', '120d8m36s'] ['38d0m0s', '120d15m38s'] ['38d0m0s', '120d8m36s'] 1665
79 0 ['38d5m24s', '120d22m40s'] ['38d5m24s', '120d15m38s'] ['38d0m0s', '120d22m40s'] ['38d0m0s', '120d15m38s'] 1353
80 0 ['38d5m24s', '120d29m42s'] ['38d5m24s', '120d22m40s'] ['38d0m0s', '120d29m42s'] ['38d0m0s', '120d22m40s'] 1042
81 0 ['38d5m24s', '120d36m44s'] ['38d5m24s', '120d29m42s'] ['38d0m0s', '120d36m44s'] ['38d0m0s', '120d29m42s'] 885
82 0 ['38d5m24s', '120d43m46s'] ['38d5m24s', '120d36m44s'] ['38d0m0s', '120d43m46s'] ['38d0m0s', '120d36m44s'] 789
83 0 ['38d5m24s', '120d50m48s'] ['38d5m24s', '120d43m46s'] ['38d0m0s', '120d50m48s'] ['38d0m0s', '120d43m46s'] 504
84 0 ['38d5m24s', '120d57m50s'] ['38d5m24s', '120d50m48s'] ['38d0m0s', '120d57m50s'] ['38d0m0s', '120d50m48s'] 192
85 0 ['38d5m24s', '121d4m52s'] ['38d5m24s', '120d57m50s'] ['38d0m0s', '121d4m52s'] ['38d0m0s', '120d57m50s'] 99
86 0 ['38d5m24s', '121d11m54s'] ['38d5m24s', '121d4m52s'] ['38d0m0s', '121d11m54s'] ['38d0m0s', '121d4m52s'] 51
87 0 ['38d5m24s', '121d18m56s'] ['38d5m24s', '121d11m54s'] ['38d0m0s', '121d18m56s'] ['38d0m0s', '121d11m54s'] 28
88 0 ['38d5m24s', '121d25m58s'] ['38d5m24s', '121d18m56s'] ['38d0m0s', '121d25m58s'] ['38d0m0s', '121d18m56s'] 16
89 0 ['38d5m24s', '121d33m0s'] ['38d5m24s', '121d25m58s'] ['38d0m0s', '121d33m0s'] ['38d0m0s', '121d25m58s'] 15
90 0 ['38d5m24s', '121d40m2s'] ['38d5m24s', '121d33m0s'] ['38d0m0s', '121d40m2s'] ['38d0m0s', '121d33m0s'] 25
91 0 ['38d5m24s', '121d47m4s'] ['38d5m24s', '121d40m2s'] ['38d0m0s', '121d47m4s'] ['38d0m0s', '121d40m2s'] 60
92 0 ['38d5m24s', '121d54m6s'] ['38d5m24s', '121d47m4s'] ['38d0m0s', '121d54m6s'] ['38d0m0s', '121d47m4s'] 76
93 0 ['38d5m24s', '122d1m8s'] ['38d5m24s', '121d54m6s'] ['38d0m0s', '122d1m8s'] ['38d0m0s', '121d54m6s'] 287
94 0 ['38d5m24s', '122d8m10s'] ['38d5m24s', '122d1m8s'] ['38d0m0s', '122d8m10s'] ['38d0m0s', '122d1m8s'] 181
95 0 ['38d5m24s', '122d15m12s'] ['38d5m24s', '122d8m10s'] ['38d0m0s', '122d15m12s'] ['38d0m0s', '122d8m10s'] 290
96 0 ['38d5m24s', '122d22m14s'] ['38d5m24s', '122d15m12s'] ['38d0m0s', '122d22m14s'] ['38d0m0s', '122d15m12s'] 96
97 0 ['38d5m24s', '122d29m16s'] ['38d5m24s', '122d22m14s'] ['38d0m0s', '122d29m16s'] ['38d0m0s', '122d22m14s'] 149
98 0 ['38d5m24s', '122d36m18s'] ['38d5m24s', '122d29m16s'] ['38d0m0s', '122d36m18s'] ['38d0m0s', '122d29m16s'] 573
99 0 ['38d5m24s', '122d43m20s'] ['38d5m24s', '122d36m18s'] ['38d0m0s', '122d43m20s'] ['38d0m0s', '122d36m18s'] 571
100 0 ['38d5m24s', '122d50m22s'] ['38d5m24s', '122d43m20s'] ['38d0m0s', '122d50m22s'] ['38d0m0s', '122d43m20s'] 439
101 0 ['38d5m24s', '122d57m24s'] ['38d5m24s', '122d50m22s'] ['38d0m0s', '122d57m24s'] ['38d0m0s', '122d50m22s'] 407
102 0 ['38d5m24s', '123d4m26s'] ['38d5m24s', '122d57m24s'] ['38d0m0s', '123d4m26s'] ['38d0m0s', '122d57m24s'] 137
103 0 ['38d5m24s', '123d11m28s'] ['38d5m24s', '123d4m26s'] ['38d0m0s', '123d11m28s'] ['38d0m0s', '123d4m26s'] 0
104 0 ['38d5m24s', '123d18m30s'] ['38d5m24s', '123d11m28s'] ['38d0m0s', '123d18m30s'] ['38d0m0s', '123d11m28s'] 0
105 0 ['38d5m24s', '123d25m32s'] ['38d5m24s', '123d18m30s'] ['38d0m0s', '123d25m32s'] ['38d0m0s', '123d18m30s'] 0
106 0 ['38d5m24s', '123d32m34s'] ['38d5m24s', '123d25m32s'] ['38d0m0s', '123d32m34s'] ['38d0m0s', '123d25m32s'] 0
107 0 ['38d5m24s', '123d39m36s'] ['38d5m24s', '123d32m34s'] ['38d0m0s', '123d39m36s'] ['38d0m0s', '123d32m34s'] 0
108 0 ['38d5m24s', '123d46m38s'] ['38d5m24s', '123d39m36s'] ['38d0m0s', '123d46m38s'] ['38d0m0s', '123d39m36s'] 0
109 0 ['38d5m24s', '123d53m40s'] ['38d5m24s', '123d46m38s'] ['38d0m0s', '123d53m40s'] ['38d0m0s', '123d46m38s'] 0
110 0 ['38d5m24s', '124d0m42s'] ['38d5m24s', '123d53m40s'] ['38d0m0s', '124d0m42s'] ['38d0m0s', '123d53m40s'] 0
111 0 ['38d5m24s', '124d7m44s'] ['38d5m24s', '124d0m42s'] ['38d0m0s', '124d7m44s'] ['38d0m0s', '124d0m42s'] 0
112 0 ['38d5m24s', '124d14m46s'] ['38d5m24s', '124d7m44s'] ['38d0m0s', '124d14m46s'] ['38d0m0s', '124d7m44s'] 0
113 0 ['38d5m24s', '124d21m48s'] ['38d5m24s', '124d14m46s'] ['38d0m0s', '124d21m48s'] ['38d0m0s', '124d14m46s'] 0
114 0 ['38d5m24s', '124d28m50s'] ['38d5m24s', '124d21m48s'] ['38d0m0s', '124d28m50s'] ['38d0m0s', '124d21m48s'] 0
115 0 ['38d5m24s', '124d35m52s'] ['38d5m24s', '124d28m50s'] ['38d0m0s', '124d35m52s'] ['38d0m0s', '124d28m50s'] 0
